,pid,px,py,pz,mx,my,mz,ex,ey,ez,delta p m,,,delta m e
55,c85d4ad5-6df3-461a-8a55-6531afd4c7e8,-3413,-3750,-693,-3412.8,-3749.9,-1639.4,-3514,-4200,-1043,946.4000264,,,754.0055769
56,f703e521-7cd1-440a-a22d-71eb253e6c42,-3413,-3750,-693,-1067.4,-3997.5,-827.6,-1502.397799,-3958.348461,-93,2362.459051,,,854.6303811
57,9991277b-9e8e-4db8-b8a6-e2c0176ef9ad,-800,-5500,-813,-800,-5442.2,-917.3,-964,-5800,-668,119.2448322,,,465.9048508
58,f5a89b48-fe42-43c5-a33c-c4cc39b8a279,-2355,-1250,-313,-2354.8,-1155.2,673,-2689,-925,-443,990.5468591,,,1187.492181
59,6c8eb20d-2f70-4497-96aa-821b2be7ea49,978,750,-598,978,750,-684.8,786,625,-543,86.8,,,269.4368943
60,e88eb9f8-fff3-469a-854d-d16adef19df0,-1300,0,-384,-1254.5,0,-284.9,-1339,-400,-218,109.046137,,,414.2654463
61,516b2043-0176-49a3-a986-132b3d02f28a,978,1250,-693,979.6,1293.2,-295.2,961,1200,-718,400.1420248,,,433.3497894
62,63679ae2-6c87-495b-b888-a7273e545636,-2514,-5500,-1880,-2514,-5500,-1880,-2364,-5700,-1043,0,,,873.5382075
63,c42574be-0456-437f-8329-afc5a63b7e78,-804,250,-408,-810,252.4,-358.5,-1039,-175,-293,49.92003606,,,489.2872469
64,179ce6d0-e348-4257-b718-e58dd4134589,1000,-3250,44,1047.9,-2969.1,-1293.4,811,-3575,7,1367.420191,,,1454.055219
65,03c42ea1-1e04-4a3e-9b04-46d8568dcd02,2670,-5750,-1408,2670,-5750,-1408,2611,-5350,-1393,0,,,404.6059812
66,96fe2729-b5a2-4e77-92bb-9df410144768,-804,-250,-265,-847.9,-236.2,-28.4,-1189,250,-443,241.0336284,,,724.3154078
67,48c02db0-107e-4413-ae6a-60793ec7cc14,-804,-250,-265,0,0,0,-2239,2875,-1893,882.6896397,,,4106.360311
68,b375a0ee-4c5a-4a53-9cea-d753f206e5c5,-1300,0,-384,-1300,0,-384,-1264,25,-368,0,,,46.65833259
69,aec2b14f-5dbc-400b-bf2e-dd13e711e2ff,-3141,-1500,-598,0,0,0,-3164,-1225,-593,3531.782128,,,3444.295284
70,fdee56fb-6cf4-4376-8194-ff0c6ae90c58,1000,-3250,44,981.3,-3491.7,-1482.9,961,-3575,32,1546.024641,,,1517.324286
